education_level,domain,interests,skills,aptitude,preferred_work_style,career
10th,Commerce,Accounting,"Auditing, Taxation",Numerical,Field,Chartered Accountant
Graduate,Commerce,Accounting,"Auditing, Accounting",Numerical,Field,Chartered Accountant
10th,Commerce,Accounting,"Accounting, Taxation",Numerical,Field,Chartered Accountant
10th,Commerce,Finance,"Accounting, Taxation",Numerical,Research,Chartered Accountant
Postgraduate,Commerce,Accounting,"Auditing, Taxation",Numerical,Research,Chartered Accountant
10th,Commerce,Finance,"Taxation, Auditing",Numerical,Desk,Chartered Accountant
Diploma,Commerce,Accounting,"Accounting, Taxation",Numerical,Creative,Chartered Accountant
Graduate,Commerce,Accounting,"Taxation, Auditing",Numerical,Field,Chartered Accountant
Graduate,Commerce,Accounting,"Taxation, Auditing",Numerical,Desk,Chartered Accountant
Graduate,Commerce,Finance,"Taxation, Accounting",Numerical,Hybrid,Chartered Accountant
Diploma,Commerce,Accounting,"Accounting, Auditing",Numerical,Research,Chartered Accountant
Diploma,Commerce,Accounting,"Taxation, Auditing",Numerical,Field,Chartered Accountant
Graduate,Arts,Design,"Illustrator, Photoshop",Creative,Research,Graphic Designer
Postgraduate,Arts,Design,"Illustrator, Photoshop",Creative,Desk,Graphic Designer
Graduate,Arts,Design,"Photoshop, Illustrator",Creative,Field,Graphic Designer
Postgraduate,Arts,Design,"Photoshop, Illustrator",Creative,Desk,Graphic Designer
12th,Arts,Design,"Illustrator, Photoshop",Creative,Hybrid,Graphic Designer
10th,Arts,Creativity,"Illustrator, Photoshop",Creative,Research,Graphic Designer
Graduate,Arts,Creativity,"Photoshop, Illustrator",Creative,Creative,Graphic Designer
Diploma,Arts,Design,"Photoshop, Illustrator",Creative,Desk,Graphic Designer
12th,Arts,Design,"Illustrator, Photoshop",Creative,Research,Graphic Designer
Diploma,Arts,Design,"Photoshop, Illustrator",Creative,Creative,Graphic Designer
12th,Arts,Creativity,"Photoshop, Illustrator",Creative,Creative,Graphic Designer
12th,Arts,Design,"Photoshop, Illustrator",Creative,Research,Graphic Designer
10th,Arts,Design,"Illustrator, Photoshop",Creative,Field,Graphic Designer
Diploma,Arts,Creativity,"Photoshop, Illustrator",Creative,Field,Graphic Designer
12th,Arts,Design,"Photoshop, Illustrator",Creative,Hybrid,Graphic Designer
Postgraduate,Arts,Design,"Illustrator, Photoshop",Creative,Hybrid,Graphic Designer
10th,Arts,Creativity,"Illustrator, Photoshop",Creative,Creative,Graphic Designer
Postgraduate,Arts,Design,"Illustrator, Photoshop",Creative,Field,Graphic Designer
Diploma,Arts,Creativity,"Illustrator, Photoshop",Creative,Hybrid,Graphic Designer
Diploma,Arts,Creativity,"Photoshop, Illustrator",Creative,Creative,Graphic Designer
Postgraduate,Arts,Creativity,"Photoshop, Illustrator",Creative,Research,Graphic Designer
12th,Arts,Creativity,"Illustrator, Photoshop",Creative,Research,Graphic Designer
Postgraduate,Arts,Design,"Photoshop, Illustrator",Creative,Field,Graphic Designer
Postgraduate,Arts,Design,"Photoshop, Illustrator",Creative,Hybrid,Graphic Designer
Postgraduate,Arts,Creativity,"Photoshop, Illustrator",Creative,Field,Graphic Designer
Postgraduate,Arts,Design,"Photoshop, Illustrator",Creative,Desk,Graphic Designer
10th,Arts,Design,"Photoshop, Illustrator",Creative,Hybrid,Graphic Designer
10th,Arts,Design,"Illustrator, Photoshop",Creative,Creative,Graphic Designer
12th,Arts,Design,"Illustrator, Photoshop",Creative,Desk,Graphic Designer
10th,Arts,Creativity,"Illustrator, Photoshop",Creative,Creative,Graphic Designer
Graduate,Arts,Creativity,"Illustrator, Photoshop",Creative,Research,Graphic Designer
Diploma,Arts,Design,"Illustrator, Photoshop",Creative,Research,Graphic Designer
Postgraduate,Arts,Creativity,"Illustrator, Photoshop",Creative,Creative,Graphic Designer
10th,Arts,Design,"Illustrator, Photoshop",Creative,Field,Graphic Designer
10th,Arts,Creativity,"Illustrator, Photoshop",Creative,Hybrid,Graphic Designer
Graduate,Arts,Creativity,"Photoshop, Illustrator",Creative,Hybrid,Graphic Designer
Diploma,Arts,Creativity,"Photoshop, Illustrator",Creative,Hybrid,Graphic Designer
Graduate,Arts,Design,"Illustrator, Photoshop",Creative,Desk,Graphic Designer
10th,Arts,Design,"Illustrator, Photoshop",Creative,Field,Graphic Designer
Postgraduate,Arts,Design,"Photoshop, Illustrator",Creative,Research,Graphic Designer
Graduate,Arts,Design,"Illustrator, Photoshop",Creative,Desk,Graphic Designer
Graduate,Arts,Creativity,"Illustrator, Photoshop",Creative,Creative,Graphic Designer
Diploma,Arts,Creativity,"Illustrator, Photoshop",Creative,Hybrid,Graphic Designer
Postgraduate,Arts,Creativity,"Illustrator, Photoshop",Creative,Desk,Graphic Designer
Graduate,Arts,Design,"Illustrator, Photoshop",Creative,Field,Graphic Designer
10th,Arts,Design,"Illustrator, Photoshop",Creative,Hybrid,Graphic Designer
Diploma,Arts,Creativity,"Photoshop, Illustrator",Creative,Hybrid,Graphic Designer
10th,Arts,Creativity,"Photoshop, Illustrator",Creative,Research,Graphic Designer
Graduate,Arts,Design,"Photoshop, Illustrator",Creative,Research,Graphic Designer
Postgraduate,Arts,Design,"Photoshop, Illustrator",Creative,Hybrid,Graphic Designer
Diploma,Arts,Design,"Illustrator, Photoshop",Creative,Creative,Graphic Designer
10th,Arts,Design,"Illustrator, Photoshop",Creative,Creative,Graphic Designer
Postgraduate,Arts,Design,"Photoshop, Illustrator",Creative,Research,Graphic Designer
Postgraduate,Arts,Creativity,"Photoshop, Illustrator",Creative,Field,Graphic Designer
Postgraduate,Arts,Design,"Photoshop, Illustrator",Creative,Desk,Graphic Designer
Postgraduate,Arts,Creativity,"Photoshop, Illustrator",Creative,Creative,Graphic Designer
Diploma,Arts,Design,"Photoshop, Illustrator",Creative,Field,Graphic Designer
Graduate,Arts,Design,"Photoshop, Illustrator",Creative,Hybrid,Graphic Designer
12th,Arts,Design,"Illustrator, Photoshop",Creative,Research,Graphic Designer
12th,Arts,Design,"Illustrator, Photoshop",Creative,Research,Graphic Designer
Postgraduate,Arts,Design,"Photoshop, Illustrator",Creative,Research,Graphic Designer
Postgraduate,Arts,Design,"Photoshop, Illustrator",Creative,Research,Graphic Designer
12th,Arts,Design,"Illustrator, Photoshop",Creative,Research,Graphic Designer
Postgraduate,Arts,Design,"Illustrator, Photoshop",Creative,Hybrid,Graphic Designer
Postgraduate,Arts,Design,"Illustrator, Photoshop",Creative,Field,Graphic Designer
Diploma,Arts,Creativity,"Illustrator, Photoshop",Creative,Research,Graphic Designer
Graduate,Arts,Design,"Illustrator, Photoshop",Creative,Field,Graphic Designer
Postgraduate,Arts,Design,"Illustrator, Photoshop",Creative,Desk,Graphic Designer
Postgraduate,Arts,Creativity,"Photoshop, Illustrator",Creative,Hybrid,Graphic Designer
12th,Arts,Creativity,"Photoshop, Illustrator",Creative,Creative,Graphic Designer
Diploma,Arts,Design,"Photoshop, Illustrator",Creative,Desk,Graphic Designer
Postgraduate,Arts,Creativity,"Illustrator, Photoshop",Creative,Creative,Graphic Designer
12th,Arts,Design,"Illustrator, Photoshop",Creative,Desk,Graphic Designer
10th,Arts,Creativity,"Photoshop, Illustrator",Creative,Creative,Graphic Designer
12th,Arts,Creativity,"Illustrator, Photoshop",Creative,Field,Graphic Designer
Diploma,Arts,Creativity,"Photoshop, Illustrator",Creative,Hybrid,Graphic Designer
Postgraduate,Arts,Creativity,"Illustrator, Photoshop",Creative,Creative,Graphic Designer
Postgraduate,Arts,Design,"Photoshop, Illustrator",Creative,Research,Graphic Designer
12th,Arts,Creativity,"Illustrator, Photoshop",Creative,Creative,Graphic Designer
Diploma,Arts,Creativity,"Photoshop, Illustrator",Creative,Research,Graphic Designer
Postgraduate,Arts,Creativity,"Photoshop, Illustrator",Creative,Creative,Graphic Designer
Postgraduate,Arts,Design,"Photoshop, Illustrator",Creative,Desk,Graphic Designer
12th,Arts,Creativity,"Illustrator, Photoshop",Creative,Field,Graphic Designer
10th,Arts,Design,"Illustrator, Photoshop",Creative,Creative,Graphic Designer
Diploma,Arts,Design,"Illustrator, Photoshop",Creative,Research,Graphic Designer
Diploma,Arts,Creativity,"Photoshop, Illustrator",Creative,Creative,Graphic Designer
Diploma,Arts,Creativity,"Illustrator, Photoshop",Creative,Desk,Graphic Designer
Diploma,Arts,Design,"Photoshop, Illustrator",Creative,Field,Graphic Designer
Graduate,Arts,Creativity,"Illustrator, Photoshop",Creative,Creative,Graphic Designer
Postgraduate,Arts,Design,"Photoshop, Illustrator",Creative,Hybrid,Graphic Designer
10th,Arts,Design,"Illustrator, Photoshop",Creative,Hybrid,Graphic Designer
10th,Arts,Creativity,"Photoshop, Illustrator",Creative,Field,Graphic Designer
Diploma,Arts,Design,"Photoshop, Illustrator",Creative,Hybrid,Graphic Designer
Graduate,Arts,Creativity,"Illustrator, Photoshop",Creative,Creative,Graphic Designer
12th,Arts,Design,"Illustrator, Photoshop",Creative,Hybrid,Graphic Designer
Graduate,Arts,Design,"Photoshop, Illustrator",Creative,Research,Graphic Designer
10th,Arts,Creativity,"Photoshop, Illustrator",Creative,Creative,Graphic Designer
Diploma,Arts,Creativity,"Photoshop, Illustrator",Creative,Creative,Graphic Designer
10th,Arts,Design,"Illustrator, Photoshop",Creative,Field,Graphic Designer
Graduate,Arts,Design,"Illustrator, Photoshop",Creative,Creative,Graphic Designer
Graduate,Arts,Creativity,"Photoshop, Illustrator",Creative,Desk,Graphic Designer
12th,Arts,Design,"Photoshop, Illustrator",Creative,Desk,Graphic Designer
10th,Arts,Design,"Illustrator, Photoshop",Creative,Hybrid,Graphic Designer
Graduate,Arts,Creativity,"Photoshop, Illustrator",Creative,Research,Graphic Designer
12th,Arts,Design,"Photoshop, Illustrator",Creative,Desk,Graphic Designer
Graduate,Arts,Creativity,"Photoshop, Illustrator",Creative,Desk,Graphic Designer
10th,Arts,Creativity,"Illustrator, Photoshop",Creative,Field,Graphic Designer
10th,Arts,Design,"Illustrator, Photoshop",Creative,Hybrid,Graphic Designer
12th,Arts,Creativity,"Photoshop, Illustrator",Creative,Field,Graphic Designer
Postgraduate,Arts,Design,"Illustrator, Photoshop",Creative,Research,Graphic Designer
12th,Arts,Creativity,"Illustrator, Photoshop",Creative,Research,Graphic Designer
10th,Arts,Creativity,"Illustrator, Photoshop",Creative,Desk,Graphic Designer
Diploma,Arts,Design,"Illustrator, Photoshop",Creative,Creative,Graphic Designer
12th,Arts,Design,"Illustrator, Photoshop",Creative,Hybrid,Graphic Designer
Graduate,Arts,Creativity,"Photoshop, Illustrator",Creative,Field,Graphic Designer
Graduate,Arts,Creativity,"Illustrator, Photoshop",Creative,Hybrid,Graphic Designer
Postgraduate,Arts,Creativity,"Illustrator, Photoshop",Creative,Research,Graphic Designer
12th,Arts,Design,"Photoshop, Illustrator",Creative,Research,Graphic Designer
10th,Arts,Creativity,"Photoshop, Illustrator",Creative,Creative,Graphic Designer
Postgraduate,Arts,Creativity,"Photoshop, Illustrator",Creative,Hybrid,Graphic Designer
Postgraduate,Medical,Biology,"Patient Care, Diagnosis",Empathy,Research,Medical Doctor
Diploma,Medical,Biology,"Diagnosis, Patient Care",Empathy,Desk,Medical Doctor
Graduate,Medical,Biology,"Diagnosis, Patient Care",Empathy,Field,Medical Doctor
Postgraduate,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
Postgraduate,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Research,Medical Doctor
Postgraduate,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
Diploma,Medical,Biology,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
10th,Medical,Biology,"Diagnosis, Patient Care",Empathy,Research,Medical Doctor
Postgraduate,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Field,Medical Doctor
Diploma,Medical,Biology,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
Postgraduate,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
Graduate,Medical,Biology,"Patient Care, Diagnosis",Empathy,Field,Medical Doctor
Postgraduate,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Hybrid,Medical Doctor
10th,Medical,Biology,"Diagnosis, Patient Care",Empathy,Creative,Medical Doctor
12th,Medical,Biology,"Diagnosis, Patient Care",Empathy,Desk,Medical Doctor
12th,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Hybrid,Medical Doctor
Postgraduate,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Desk,Medical Doctor
Postgraduate,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Hybrid,Medical Doctor
Diploma,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Field,Medical Doctor
10th,Medical,Biology,"Diagnosis, Patient Care",Empathy,Field,Medical Doctor
Postgraduate,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
10th,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Hybrid,Medical Doctor
12th,Medical,Biology,"Patient Care, Diagnosis",Empathy,Desk,Medical Doctor
10th,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Hybrid,Medical Doctor
Graduate,Medical,Biology,"Diagnosis, Patient Care",Empathy,Desk,Medical Doctor
Graduate,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Hybrid,Medical Doctor
10th,Medical,Biology,"Diagnosis, Patient Care",Empathy,Research,Medical Doctor
10th,Medical,Biology,"Patient Care, Diagnosis",Empathy,Field,Medical Doctor
Diploma,Medical,Biology,"Diagnosis, Patient Care",Empathy,Creative,Medical Doctor
10th,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Hybrid,Medical Doctor
Graduate,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Desk,Medical Doctor
Postgraduate,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Creative,Medical Doctor
12th,Medical,Biology,"Patient Care, Diagnosis",Empathy,Research,Medical Doctor
10th,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Field,Medical Doctor
Diploma,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Hybrid,Medical Doctor
Graduate,Medical,Biology,"Patient Care, Diagnosis",Empathy,Desk,Medical Doctor
10th,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Field,Medical Doctor
Graduate,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Desk,Medical Doctor
10th,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Research,Medical Doctor
10th,Medical,Biology,"Diagnosis, Patient Care",Empathy,Creative,Medical Doctor
Graduate,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Desk,Medical Doctor
Diploma,Medical,Biology,"Patient Care, Diagnosis",Empathy,Desk,Medical Doctor
Diploma,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Hybrid,Medical Doctor
12th,Medical,Biology,"Patient Care, Diagnosis",Empathy,Field,Medical Doctor
Diploma,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Field,Medical Doctor
10th,Medical,Biology,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
Diploma,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Research,Medical Doctor
12th,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Desk,Medical Doctor
12th,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Research,Medical Doctor
Postgraduate,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Research,Medical Doctor
Graduate,Medical,Biology,"Patient Care, Diagnosis",Empathy,Hybrid,Medical Doctor
12th,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
Diploma,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Research,Medical Doctor
Graduate,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Desk,Medical Doctor
Postgraduate,Medical,Biology,"Diagnosis, Patient Care",Empathy,Creative,Medical Doctor
12th,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
Graduate,Medical,Biology,"Patient Care, Diagnosis",Empathy,Research,Medical Doctor
12th,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
Postgraduate,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Hybrid,Medical Doctor
10th,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Field,Medical Doctor
Diploma,Medical,Biology,"Diagnosis, Patient Care",Empathy,Research,Medical Doctor
Graduate,Medical,Biology,"Diagnosis, Patient Care",Empathy,Research,Medical Doctor
12th,Medical,Biology,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
Graduate,Medical,Biology,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
10th,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Desk,Medical Doctor
12th,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
12th,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Desk,Medical Doctor
Graduate,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Research,Medical Doctor
10th,Medical,Biology,"Diagnosis, Patient Care",Empathy,Desk,Medical Doctor
12th,Medical,Biology,"Diagnosis, Patient Care",Empathy,Research,Medical Doctor
Postgraduate,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
12th,Medical,Biology,"Patient Care, Diagnosis",Empathy,Desk,Medical Doctor
Postgraduate,Medical,Biology,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
10th,Medical,Biology,"Diagnosis, Patient Care",Empathy,Desk,Medical Doctor
Postgraduate,Medical,Biology,"Diagnosis, Patient Care",Empathy,Research,Medical Doctor
12th,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Creative,Medical Doctor
Postgraduate,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Hybrid,Medical Doctor
10th,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Hybrid,Medical Doctor
12th,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Research,Medical Doctor
10th,Medical,Biology,"Patient Care, Diagnosis",Empathy,Field,Medical Doctor
Diploma,Medical,Biology,"Patient Care, Diagnosis",Empathy,Hybrid,Medical Doctor
12th,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
Postgraduate,Medical,Biology,"Diagnosis, Patient Care",Empathy,Research,Medical Doctor
12th,Medical,Biology,"Patient Care, Diagnosis",Empathy,Hybrid,Medical Doctor
10th,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Field,Medical Doctor
12th,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
Graduate,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Desk,Medical Doctor
Postgraduate,Medical,Biology,"Diagnosis, Patient Care",Empathy,Desk,Medical Doctor
Diploma,Medical,Biology,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
Postgraduate,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Research,Medical Doctor
Postgraduate,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Hybrid,Medical Doctor
12th,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Research,Medical Doctor
10th,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Desk,Medical Doctor
Graduate,Medical,Biology,"Diagnosis, Patient Care",Empathy,Hybrid,Medical Doctor
Diploma,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Field,Medical Doctor
12th,Medical,Biology,"Patient Care, Diagnosis",Empathy,Hybrid,Medical Doctor
Postgraduate,Medical,Biology,"Patient Care, Diagnosis",Empathy,Research,Medical Doctor
Postgraduate,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Creative,Medical Doctor
10th,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Field,Medical Doctor
12th,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Creative,Medical Doctor
12th,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
10th,Medical,Biology,"Patient Care, Diagnosis",Empathy,Research,Medical Doctor
Graduate,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Desk,Medical Doctor
Graduate,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Field,Medical Doctor
Graduate,Medical,Biology,"Patient Care, Diagnosis",Empathy,Research,Medical Doctor
Diploma,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Research,Medical Doctor
10th,Medical,Biology,"Diagnosis, Patient Care",Empathy,Desk,Medical Doctor
10th,Medical,Biology,"Patient Care, Diagnosis",Empathy,Desk,Medical Doctor
Graduate,Medical,Biology,"Diagnosis, Patient Care",Empathy,Field,Medical Doctor
Diploma,Medical,Biology,"Patient Care, Diagnosis",Empathy,Desk,Medical Doctor
Diploma,Medical,Biology,"Diagnosis, Patient Care",Empathy,Research,Medical Doctor
12th,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Desk,Medical Doctor
12th,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Hybrid,Medical Doctor
12th,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Research,Medical Doctor
10th,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Desk,Medical Doctor
12th,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Desk,Medical Doctor
Diploma,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Creative,Medical Doctor
12th,Medical,Biology,"Diagnosis, Patient Care",Empathy,Hybrid,Medical Doctor
12th,Medical,Healthcare,"Patient Care, Diagnosis",Empathy,Field,Medical Doctor
Graduate,Medical,Healthcare,"Diagnosis, Patient Care",Empathy,Desk,Medical Doctor
